,OID,WATERBODY_CODE,Waterbody_LID,LOCNAME,lat,long,ID,SPECIES_NAME,SAMPLE_YEAR,SAMPLE_DATE,LENGTH_CM,WEIGHT_GRAM,SEX,VALUE,Waterbody_Name,LCOUPCORSM,COUPCORSM,TP,TPMAX,TEMPMEANYR,SA_ha
77,23255,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110615,Lake Trout,2010,22-Jun-10,46.6,829,,1.1,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
78,23259,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110619,Lake Trout,2010,22-Jun-10,52.4,1146,F,0.48,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
79,23260,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110620,Lake Trout,2010,22-Jun-10,61.1,1919,F,0.93,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
80,23261,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110621,Lake Trout,2010,22-Jun-10,64.1,2174,M,1.7,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
81,23262,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110622,Lake Trout,2010,22-Jun-10,66.2,2153,M,0.51,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
82,23263,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110623,Lake Trout,2010,22-Jun-10,70,3065,F,2.1,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
83,23264,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110624,Lake Trout,2010,22-Jun-10,71.2,2199,M,1.1,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
84,23265,48329206,15-5662-53769,Beaverhouse Lake,48.54333333,-92.10277778,110625,Lake Trout,2010,22-Jun-10,72.1,2819,F,3.1,Beaverhouse L.,-2.223040926,0.097700403,4.764313552,5.176078258,17.58504033,2000.8
85,32398,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101659,Lake Trout,2009,04-Jun-09,65.3,2095,F,0.46,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
86,32399,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101661,Lake Trout,2009,04-Jun-09,66.1,2087,M,0.63,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
87,32400,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101662,Lake Trout,2009,04-Jun-09,67.1,2640,M,1.6,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
88,32401,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101663,Lake Trout,2009,04-Jun-09,67.2,2435,F,0.84,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
89,32402,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101664,Lake Trout,2009,04-Jun-09,81.2,6075,F,0.4,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
90,32405,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101667,Lake Trout,2009,04-Jun-09,79,5370,F,1.2,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
91,32407,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101669,Lake Trout,2009,04-Jun-09,71.4,3623,F,1,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
92,32424,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101686,Lake Trout,2009,04-Jun-09,57,1488,F,0.4,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
93,32425,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101687,Lake Trout,2009,04-Jun-09,60.4,1802,M,0.37,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
94,32426,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101688,Lake Trout,2009,04-Jun-09,62,2019,M,0.34,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
95,32427,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101689,Lake Trout,2009,04-Jun-09,62.5,1951,M,0.33,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
96,32428,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101690,Lake Trout,2009,04-Jun-09,62.8,2115,F,0.48,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
97,32429,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101691,Lake Trout,2009,04-Jun-09,62.9,2021,M,0.48,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
98,32430,49489054,15-6500-55194,Bell Lake,49.81055556,-90.91527778,101716,Lake Trout,2009,04-Jun-09,65.8,2294,F,0.41,Bell L.,-1.015489344,0.265906952,4.455501303,4.699901533,15.43374967,4169.6
99,28130,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109534,Lake Trout,2009,19-Oct-09,70.5,2800,F,1.2,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
100,28133,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109541,Lake Trout,2009,20-Oct-09,65.6,2200,M,0.62,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
101,28134,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109542,Lake Trout,2009,20-Oct-09,67.1,2650,M,0.65,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
102,28135,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109543,Lake Trout,2009,20-Oct-09,71.6,2600,F,0.89,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
103,28136,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109544,Lake Trout,2009,20-Oct-09,75,3350,F,1.1,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
104,28137,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109551,Lake Trout,2009,20-Oct-09,58.1,1540,F,0.46,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
105,28139,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109553,Lake Trout,2009,20-Oct-09,60.5,1660,M,0.77,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
106,28140,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109713,Lake Trout,2010,16-Jan-10,44.2,700,F,1.2,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
107,28141,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109714,Lake Trout,2010,16-Jan-10,52.8,1290,F,0.5,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
108,28144,49199208,15-5627-54632,Bending Lake,49.32027778,-92.13777778,109717,Lake Trout,2010,17-Jan-10,50.4,940,F,0.58,Bending L.,-0.859965822,0.297346487,4.531928114,4.964281055,17.83010367,1135.7
